group,label,n,seed,rel_error,signed_error,clamped,result,exact
cast+accumulation,bf16 in / fp32 sequential,256,2,9.352389e-04,-9.352389e-04,0,-65.499221801757810,-65.438021615846170
cast+accumulation,bf16 in / fp32 pairwise,256,2,9.353555e-04,-9.353555e-04,0,-65.499229431152340,-65.438021615846170
cast+accumulation,bf16 in / fp16 sequential,256,2,7.971143e-06,7.971143e-06,0,-65.437500000000000,-65.438021615846170
cast+accumulation,bf16 in / fp16 pairwise,256,2,9.471311e-04,-9.471311e-04,0,-65.500000000000000,-65.438021615846170
cast+accumulation,bf16 in / bf16 sequential,256,2,6.693687e-03,6.693687e-03,0,-65.000000000000000,-65.438021615846170
cast+accumulation,bf16 in / bf16 pairwise,256,2,8.587949e-03,-8.587949e-03,0,-66.000000000000000,-65.438021615846170
scaling,e4m3 none,256,2,2.182041e-02,-2.182041e-02,0,-66.865905761718750,-65.438021615846170
scaling,e4m3 per-tensor,256,2,5.664266e-02,5.664266e-02,0,-61.731437683105470,-65.438021615846170
scaling,e4m3 mx32 spec,256,2,3.479508e-02,-3.479508e-02,3,-67.714942932128900,-65.438021615846170
scaling,e4m3 mx32 +1,256,2,2.190120e-02,-2.190120e-02,0,-66.871192932128900,-65.438021615846170
scaling,e2m1 none,256,2,1.938937e-01,1.938937e-01,12,-52.750000000000000,-65.438021615846170
scaling,e2m1 per-tensor,256,2,3.322439e-02,-3.322439e-02,0,-67.612159729003900,-65.438021615846170
scaling,e2m1 mx32 spec,256,2,4.012226e-02,4.012226e-02,11,-62.812500000000000,-65.438021615846170
scaling,e2m1 mx32 +1,256,2,4.651428e-01,4.651428e-01,0,-35.000000000000000,-65.438021615846170
rounding,e2m1 mx32 nearest,256,2,4.012226e-02,4.012226e-02,11,-62.812500000000000,-65.438021615846170
rounding,e2m1 mx32 stochastic,256,2,2.416488e-01,2.416488e-01,11,-49.625000000000000,-65.438021615846170
accumulation,fp32 sequential,256,3,1.626487e-07,-1.626487e-07,0,-31.139806747436523,-31.139801682588114
accumulation,fp32 reversed,256,3,2.110474e-08,2.110474e-08,0,-31.139801025390625,-31.139801682588114
accumulation,fp32 pairwise,256,3,2.110474e-08,2.110474e-08,0,-31.139801025390625,-31.139801682588114
accumulation,fp32 blocked,256,3,2.661093e-07,2.661093e-07,0,-31.139793395996094,-31.139801682588114
accumulation,fp16 sequential,256,3,1.531748e-03,-1.531748e-03,0,-31.187500000000000,-31.139801682588114
accumulation,fp16 reversed,256,3,3.538825e-03,-3.538825e-03,0,-31.250000000000000,-31.139801682588114
accumulation,fp16 pairwise,256,3,4.753300e-04,4.753300e-04,0,-31.125000000000000,-31.139801682588114
accumulation,fp16 blocked,256,3,1.500387e-03,-1.500387e-03,0,-31.186523437500000,-31.139801682588114
accumulation,bf16 sequential,256,3,4.489485e-03,4.489485e-03,0,-31.000000000000000,-31.139801682588114
accumulation,bf16 reversed,256,3,1.959545e-02,-1.959545e-02,0,-31.750000000000000,-31.139801682588114
accumulation,bf16 pairwise,256,3,4.489485e-03,4.489485e-03,0,-31.000000000000000,-31.139801682588114
accumulation,bf16 blocked,256,3,1.457775e-02,-1.457775e-02,0,-31.593750000000000,-31.139801682588114
cast+accumulation,bf16 in / fp32 sequential,256,3,7.604732e-04,-7.604732e-04,0,-31.163482666015625,-31.139801682588114
cast+accumulation,bf16 in / fp32 pairwise,256,3,7.603507e-04,-7.603507e-04,0,-31.163478851318360,-31.139801682588114
cast+accumulation,bf16 in / fp16 sequential,256,3,1.029978e-03,-1.029978e-03,0,-31.171875000000000,-31.139801682588114
cast+accumulation,bf16 in / fp16 pairwise,256,3,5.282088e-04,-5.282088e-04,0,-31.156250000000000,-31.139801682588114
cast+accumulation,bf16 in / bf16 sequential,256,3,4.489485e-03,4.489485e-03,0,-31.000000000000000,-31.139801682588114
cast+accumulation,bf16 in / bf16 pairwise,256,3,8.503641e-03,8.503641e-03,0,-30.875000000000000,-31.139801682588114
scaling,e4m3 none,256,3,7.677878e-02,-7.677878e-02,0,-33.530677795410156,-31.139801682588114
scaling,e4m3 per-tensor,256,3,6.454747e-03,-6.454747e-03,0,-31.340801239013672,-31.139801682588114
scaling,e4m3 mx32 spec,256,3,8.026103e-02,-8.026103e-02,1,-33.639114379882810,-31.139801682588114
scaling,e4m3 mx32 +1,256,3,7.674865e-02,-7.674865e-02,0,-33.529739379882810,-31.139801682588114
scaling,e2m1 none,256,3,2.925580e-01,-2.925580e-01,6,-40.250000000000000,-31.139801682588114
scaling,e2m1 per-tensor,256,3,1.798339e-01,1.798339e-01,0,-25.539810180664062,-31.139801682588114
scaling,e2m1 mx32 spec,256,3,1.079069e-01,-1.079069e-01,4,-34.500000000000000,-31.139801682588114
scaling,e2m1 mx32 +1,256,3,2.054611e-02,2.054611e-02,0,-30.500000000000000,-31.139801682588114
rounding,e2m1 mx32 nearest,256,3,1.079069e-01,-1.079069e-01,4,-34.500000000000000,-31.139801682588114
rounding,e2m1 mx32 stochastic,256,3,4.489485e-03,4.489485e-03,4,-31.000000000000000,-31.139801682588114
accumulation,fp32 sequential,256,4,1.301496e-07,-1.301496e-07,0,57.440670013427734,57.440677489306490
accumulation,fp32 reversed,256,4,3.293828e-07,-3.293828e-07,0,57.440658569335940,57.440677489306490
accumulation,fp32 pairwise,256,4,6.908367e-08,6.908367e-08,0,57.440681457519530,57.440677489306490
accumulation,fp32 blocked,256,4,6.373848e-08,-6.373848e-08,0,57.440673828125000,57.440677489306490
accumulation,fp16 sequential,256,4,1.143397e-03,-1.143397e-03,0,57.375000000000000,57.440677489306490
accumulation,fp16 reversed,256,4,5.531775e-05,-5.531775e-05,0,57.437500000000000,57.440677489306490
accumulation,fp16 pairwise,256,4,5.531775e-05,-5.531775e-05,0,57.437500000000000,57.440677489306490
accumulation,fp16 blocked,256,4,4.681714e-05,-4.681714e-05,0,57.437988281250000,57.440677489306490
accumulation,bf16 sequential,256,4,1.408971e-02,1.408971e-02,0,58.250000000000000,57.440677489306490
accumulation,bf16 reversed,256,4,2.072882e-02,-2.072882e-02,0,56.250000000000000,57.440677489306490
accumulation,bf16 pairwise,256,4,5.385078e-03,5.385078e-03,0,57.750000000000000,57.440677489306490
accumulation,bf16 blocked,256,4,5.767733e-03,-5.767733e-03,0,57.109375000000000,57.440677489306490
cast+accumulation,bf16 in / fp32 sequential,256,4,3.104691e-04,-3.104691e-04,0,57.422843933105470,57.440677489306490
cast+accumulation,bf16 in / fp32 pairwise,256,4,3.104691e-04,-3.104691e-04,0,57.422843933105470,57.440677489306490
cast+accumulation,bf16 in / fp16 sequential,256,4,5.531775e-05,-5.531775e-05,0,57.437500000000000,57.440677489306490
cast+accumulation,bf16 in / fp16 pairwise,256,4,5.531775e-05,-5.531775e-05,0,57.437500000000000,57.440677489306490
cast+accumulation,bf16 in / bf16 sequential,256,4,1.408971e-02,1.408971e-02,0,58.250000000000000,57.440677489306490
cast+accumulation,bf16 in / bf16 pairwise,256,4,1.032761e-03,1.032761e-03,0,57.500000000000000,57.440677489306490
scaling,e4m3 none,256,4,1.893480e-02,1.893480e-02,0,58.528305053710940,57.440677489306490
scaling,e4m3 per-tensor,256,4,3.019340e-02,3.019340e-02,0,59.175006866455080,57.440677489306490
scaling,e4m3 mx32 spec,256,4,1.042361e-02,-1.042361e-02,3,56.841938018798830,57.440677489306490
scaling,e4m3 mx32 +1,256,4,1.895452e-02,1.895452e-02,0,58.529438018798830,57.440677489306490
scaling,e2m1 none,256,4,5.385078e-03,5.385078e-03,9,57.750000000000000,57.440677489306490
scaling,e2m1 per-tensor,256,4,1.607141e-01,-1.607141e-01,0,48.209148406982420,57.440677489306490
scaling,e2m1 mx32 spec,256,4,7.671871e-03,-7.671871e-03,9,57.000000000000000,57.440677489306490
scaling,e2m1 mx32 +1,256,4,2.072882e-02,-2.072882e-02,0,56.250000000000000,57.440677489306490
rounding,e2m1 mx32 nearest,256,4,7.671871e-03,-7.671871e-03,9,57.000000000000000,57.440677489306490
rounding,e2m1 mx32 stochastic,256,4,2.763168e-01,2.763168e-01,9,73.312500000000000,57.440677489306490
accumulation,fp32 sequential,256,5,3.108222e-07,3.108222e-07,0,40.323947906494140,40.323935372921845
